"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2003","Czechia","Total","Total","Number","10,192,649",""
"2003","Denmark","Total","Total","Number","5,383,507",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,536,680",""
"2003","Estonia","Total","Total","Number","1,375,190",""
"2003","Ireland","Total","Total","Number","3,964,191",""
"2003","Greece","Total","Total","Number","10,915,770",""
"2003","Spain","Total","Total","Number","41,827,838",""
"2003","France","Total","Total","Number","61,864,088",""
"2003","France (metropolitan)","Total","Total","Number","60,101,841",""
"2003","Croatia","Total","Total","Number","4,305,384",""
"2003","Italy","Total","Total","Number","57,130,506",""
"2003","Cyprus","Total","Total","Number","713,720",""
"2003","Latvia","Total","Total","Number","2,299,390",""
"2003","Lithuania","Total","Total","Number","3,431,497",""
"2003","Luxembourg","Total","Total","Number","448,300",""
"2003","Hungary","Total","Total","Number","10,142,362",""
"2003","Malta","Total","Total","Number","397,296",""
"2003","Netherlands","Total","Total","Number","16,192,572",""
"2003","Austria","Total","Total","Number","8,100,273",""
"2003","Poland","Total","Total","Number","38,218,531",""
"2003","Portugal","Total","Total","Number","10,444,592",""
"2003","Romania","Total","Total","Number","21,627,509",""
"2003","Slovenia","Total","Total","Number","1,995,033",""
"2003","Slovakia","Total","Total","Number","5,374,873",""
"2003","Finland","Total","Total","Number","5,206,295",""
"2003","Sweden","Total","Total","Number","8,940,788",""
"2003","United Kingdom","Total","Total","Number","59,501,394",""
"2003","Iceland","Total","Total","Number","288,471",""
"2003","Liechtenstein","Total","Total","Number","33,863",""
"2003","Norway","Total","Total","Number","4,552,252",""
"2003","Switzerland","Total","Total","Number","7,313,853",""
"2003","Montenegro","Total","Total","Number","610,510",""
"2003","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,023,654",""
"2003","Albania","Total","Total","Number","3,044,993",""
"2003","Serbia","Total","Total","Number","7,490,918",""
"2003","Turkey","Total","Total","Number","66,401,851",""
"2003","Andorra","Total","Total","Number","67,159",""
"2003","Belarus","Total","Total","Number","9,898,590",""
"2003","Bosnia and Herzegovina","Total","Total","Number","3,830,349","e"
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","1,985,000",""
"2003","Moldova","Total","Total","Number","3,618,312",""
"2003","Monaco","Total","Total","Number",":",""
"2003","Russia","Total","Total","Number","145,166,731",""
"2003","San Marino","Total","Total","Number",":",""
"2003","Ukraine","Total","Total","Number","47,823,108",""
"2003","Armenia","Total","Total","Number","3,210,300",""
"2003","Azerbaijan","Total","Total","Number","8,202,500",""
"2003","Georgia","Total","Total","Number","4,352,600","e"
"2004","Belgium","Total","Total","Number","10,396,421",""
"2004","Bulgaria","Total","Total","Number","7,745,147",""
"2004","Czechia","Total","Total","Number","10,195,347",""
"2004","Denmark","Total","Total","Number","5,397,640",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,531,671",""
"2004","Estonia","Total","Total","Number","1,366,250",""
"2004","Ireland","Total","Total","Number","4,028,851",""
"2004","Greece","Total","Total","Number","10,940,369",""
"2004","Spain","Total","Total","Number","42,547,451",""
"2004","France","Total","Total","Number","62,292,241",""
"2004","France (metropolitan)","Total","Total","Number","60,505,421",""
"2004","Croatia","Total","Total","Number","4,305,725",""
"2004","Italy","Total","Total","Number","57,495,900",""
"2004","Cyprus","Total","Total","Number","722,893",""
"2004","Latvia","Total","Total","Number","2,276,520",""
"2004","Lithuania","Total","Total","Number","3,398,929",""
"2004","Luxembourg","Total","Total","Number","454,960",""
"2004","Hungary","Total","Total","Number","10,116,742",""
"2004","Malta","Total","Total","Number","399,867",""
"2004","Netherlands","Total","Total","Number","16,258,032",""
"2004","Austria","Total","Total","Number","8,142,573",""
"2004","Poland","Total","Total","Number","38,190,608",""
"2004","Portugal","Total","Total","Number","10,473,050",""
"2004","Romania","Total","Total","Number","21,521,142",""
"2004","Slovenia","Total","Total","Number","1,996,433",""
"2004","Slovakia","Total","Total","Number","5,371,875",""
"2004","Finland","Total","Total","Number","5,219,732",""
"2004","Sweden","Total","Total","Number","8,975,670",""
"2004","United Kingdom","Total","Total","Number","59,793,759",""
"2004","Iceland","Total","Total","Number","290,570",""
"2004","Liechtenstein","Total","Total","Number","34,294",""
"2004","Norway","Total","Total","Number","4,577,457",""
"2004","Switzerland","Total","Total","Number","7,364,148",""
"2004","Montenegro","Total","Total","Number","612,214",""
"2004","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,029,892",""
"2004","Albania","Total","Total","Number","3,034,231",""
"2004","Serbia","Total","Total","Number","7,470,263",""
"2004","Turkey","Total","Total","Number","67,187,251",""
"2004","Andorra","Total","Total","Number","72,320",""
"2004","Belarus","Total","Total","Number","9,849,062",""
"2004","Bosnia and Herzegovina","Total","Total","Number","3,837,414","e"
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,016,000",""
"2004","Moldova","Total","Total","Number","3,607,435",""
"2004","Monaco","Total","Total","Number","32,828",""
"2004","Russia","Total","Total","Number","144,168,205",""
"2004","San Marino","Total","Total","Number","29,241",""
"2004","Ukraine","Total","Total","Number","47,442,079",""
"2004","Armenia","Total","Total","Number","3,212,200",""
"2004","Azerbaijan","Total","Total","Number","8,265,700",""
"2004","Georgia","Total","Total","Number","4,315,200","e"
"2005","Belgium","Total","Total","Number","10,445,852",""
"2005","Bulgaria","Total","Total","Number","7,688,573",""
"2005","Czechia","Total","Total","Number","10,198,855",""
"2005","Denmark","Total","Total","Number","5,411,405",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,500,849",""
"2005","Estonia","Total","Total","Number","1,358,850",""
